match_importance,is_neutral,same_confederation,home_continent_advantage,elo_diff,elo_momentum_diff,rank_diff,points_diff,squad_value_total_delta,squad_value_top11_delta,squad_value_attack_delta,squad_value_mid_delta,squad_value_def_delta,star_player_value_delta,squad_depth_delta,home_days_rest,away_days_rest,form_win_rate_diff,form_weighted_diff,goal_diff_delta,h2h_home_win_rate,h2h_draw_rate,h2h_matches_played,tournament_wr_delta,wc_appearances_diff,wc_knockout_rate_diff,wc_best_finish_diff,wc_goals_per_game_diff,injury_count_delta,injury_burden_delta,star_injury_flag
0.2,0,1,1,265.0074333534101,-29.88968943430882,-78.0,196.0,,,,,,,,56.0,59.0,0.0,-0.11158413169,0.6,1.0,0.0,4,0.1657623440043407,6,0.0,1,0.7777777777777778,0,0.0,0
0.2,0,1,1,-59.21196297569031,-2.1710341089733447,12.0,-11.0,,,,,,,,62.0,57.0,-0.3,-0.068665874,-0.1999999999999999,0.6363636363636364,0.0,11,-0.0133164235890931,4,0.25,2,1.0,0,0.0,0
0.2,0,1,0,-70.0751272037312,78.16102716028922,7.0,-24.0,,,,,,,,61.0,26.0,0.1,0.11800338773,0.6,,,0,-0.0023164647184604,0,0.0,0,0.0,0,0.0,0
0.2,0,1,1,271.5465293744594,25.043491464061844,-78.0,196.0,,,,,,,,3.0,3.0,0.1999999999999999,-0.07693893412,1.1,1.0,0.0,5,0.1716949716949716,6,0.0,1,0.7777777777777778,0,0.0,0
0.2,0,1,0,-101.74022614787395,-21.41150364033183,,,,,,,,,,7.0,7.0,-0.3,-0.0354407851349999,-1.7999999999999998,0.4838709677419355,0.2903225806451613,31,0.0115210355987054,0,0.0,0,0.0,0,0.0,0
0.2,0,1,1,198.87299393511265,30.782362160344977,-40.0,119.0,,,,,,,,3.0,63.0,0.4,0.0408958017399999,1.7,0.75,0.25,4,0.0761564339781328,3,0.0,2,0.7142857142857143,0,0.0,0
0.2,0,1,0,-116.10344158430576,69.99830813322228,24.0,-71.0,,,,,,,,7.0,61.0,0.3,0.033966105635,2.5,,,0,0.0014240241246439,-9,-0.3333333333333333,-6,-1.0909090909090908,0,0.0,0
0.2,0,0,0,14.483110926200196,-14.994388203363542,,,,,,,,,,229.0,294.0,0.3,0.04948143797,2.0,0.0,0.0,1,0.0024038461538461,0,0.0,0,0.0,0,0.0,0
0.2,0,1,1,120.76683567957208,41.186395757876426,-3.0,10.0,,,,,,,,64.0,8.0,0.0,0.05244329369,0.4,0.0,1.0,1,-0.0951671631909963,-1,0.6666666666666666,5,0.3333333333333332,0,0.0,0
0.2,0,1,0,-42.652677727388664,97.975916368787,7.0,-24.0,,,,,,,,3.0,3.0,0.2,0.13666340216,1.1,1.0,0.0,1,0.0056177309633531,0,0.0,0,0.0,0,0.0,0
0.2,1,1,0,56.194885150683376,75.73597696650745,30.0,-73.0,,,,,,,,65.0,3.0,0.0999999999999999,0.12970617296,0.0,0.5,0.125,8,-0.0108958047889345,0,0.0,0,0.0,0,0.0,0
0.3,1,1,0,108.80640818247798,27.481485645403836,-23.0,73.0,,,,,,,,65.0,64.0,0.3999999999999999,0.11804903307,2.2,0.57,0.21,100,-1.0,9,-0.0272727272727273,0,-0.423992673992674,0,0.0,0
0.8,0,1,1,263.7040318059269,30.52953328822332,-64.0,150.0,,,,,,,,7.0,16.0,0.5,0.0271578494899999,1.6,1.0,0.0,4,,6,0.0,1,0.7777777777777778,0,0.0,0
0.8,1,1,0,-150.44231256636772,-35.789055540515164,17.0,-75.0,,,,,,,,43.0,8.0,-0.1,-0.0044258635699999,-0.5999999999999999,0.2857142857142857,0.5714285714285714,7,,-3,0.0,-2,-0.7142857142857143,0,0.0,0
0.3,1,0,0,12.911941357644764,16.241719550651624,-5.0,40.0,,,,,,,,3.0,70.0,0.0999999999999999,0.03445364001,0.1,,,0,0.0,8,0.7272727272727273,5,1.7500000000000002,0,0.0,0
0.8,1,1,0,-6.952643483774864,-15.45331395682956,-48.0,107.0,,,,,,,,11.0,5.0,0.0,-0.0490244120199999,0.5000000000000001,0.4285714285714285,0.1428571428571428,7,0.0561224489795918,1,0.0,1,0.0,0,0.0,0
0.8,1,1,0,261.4059366544725,31.12226038634435,-49.0,171.0,,,,,,,,67.0,10.0,-0.0999999999999999,0.03260288422,-1.0,0.375,0.375,8,0.1665997591328783,6,0.0499999999999999,4,0.0,0,0.0,0
0.8,1,1,0,-156.6405352860843,-97.5367602532774,25.0,-38.0,,,,,,,,7.0,11.0,-0.7,-0.21315223406,-2.0,0.0,1.0,1,-0.3125,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,264.0155131609322,32.849815548128845,-39.0,112.0,,,,,,,,8.0,6.0,0.1999999999999999,0.0403234403599999,0.0,0.2857142857142857,0.5714285714285714,7,0.2888888888888889,3,0.6666666666666666,6,1.3333333333333333,0,0.0,0
0.2,0,0,1,150.00356871429062,-52.81716843676281,,,,,,,,,,48.0,108.0,0.0,-0.033755608555,-0.0999999999999999,,,0,0.1271615980918306,8,0.875,6,1.4722222222222223,0,0.0,0
0.8,1,1,0,55.12446680649123,-32.403267737547594,-3.0,9.0,,,,,,,,160.0,69.0,0.0,-0.0294929180999999,-0.3999999999999999,0.4,0.2,10,0.1754385964912281,8,0.0238095238095238,0,0.0453283996299722,0,0.0,0
0.8,1,1,0,244.3068644870168,-30.622865614194552,-87.0,234.0,,,,,,,,9.0,10.0,0.0999999999999999,-0.06967625022,0.3,,,0,,4,0.0,1,1.0,0,0.0,0
0.8,0,1,1,142.15315639117443,29.317921822614153,-9.0,30.0,,,,,,,,4.0,3.0,0.1999999999999999,0.00816119,-0.0999999999999999,0.5,0.125,8,-0.0222222222222222,5,0.0,0,0.7777777777777778,0,0.0,0
0.2,0,0,0,-394.8672732248119,-17.826580491795312,65.0,-170.0,,,,,,,,60.0,3.0,0.1,0.01261621464,-0.1,,,0,-0.0177751960499564,-11,-0.7272727272727273,-6,-2.0833333333333335,0,0.0,0
